state,arrests
AL,90
AK,119
AZ,5699
AR,5033
CA,2711
CO,1464
CT,858
DE,549
DC,210
FL,16
GA,685
HI,217
ID,4105
IL,140
IN,4436
IA,4214
KS,4360
KY,2185
LA,12065
ME,225
MD,1072
MA,132
MI,422
MN,4739
MS,2991
MO,10650
MT,751
NE,1773
NV,994
NH,1494
NJ,19911
NM,328
NY,19413
NC,12307
ND,1929
OH,5554
OK,3770
OR,849
PA,140
RI,284
SC,10839
SD,3036
TN,14204
TX,22934
UT,5827
VT,34
VA,10747
WA,483
WV,1590
WI,11062
WY,1750
